company_name,job_title,job_location,job_salary,job_description
VIVO HEALTH,Cosmetic Dermatologist on Revenue Basis,Sharjah,7452.380952380952,*Valid medical license* to practice as a dermatologist in [specify region]. We are seeking an experienced *Cosmetic Dermatologist* with a minimum of *2 years of…&hellip;
Anaat Beauty Spa & Salon,Nail Technician (Artist),Ras al-Khaimah,4000.0,"2 - 5 years of experience as a Nail Artist, with a strong portfolio of work. Nails Technician: 2 years (Required). All benefits as per UAE labour law.&hellip;"
Gerbou,Head Hostesss,Dubai,5500.0,"Ensure the *seating process is smooth and efficient*, managing reservations and walk-ins with professionalism. Head Hostess: 5 years (Required).&hellip;"
7 Emirates Real Estate,Senior Property Consultant,Dubai,3500.0,*Must have a Valid Dubai driving license*. Conduct market research and provide accurate property valuations. Minimum 2 - 3 years of experience in the Dubai real…&hellip;
Confidential,Nail Technician,Abu Dhabi,3500.0,"Candidate needs to be Available To start Immediately - Experienced Nail technician that can perform all nails services, mani pedi , Extentions , hard gel ,…&hellip;"
ONREST VACATION HOMES RENTAL,Mason,Dubai,2000.0,Valid driver's license may be required. Strong attention to detail for achieving quality finishes and accurate installations.&hellip;
Confidential,Head Mechanic,Abu Dhabi,7452.380952380952,"*Collaboration*: Work closely with other departments, including the Grounds team, to ensure equipment availability and operational readiness.&hellip;"
Confidential,Plastic Surgeon (European) - Aesthetic Medical Centre,Dubai,7452.380952380952,Valid and unrestricted medical license to practice in Dubai. Uphold the highest ethical standards and adhere to all medical regulations and safety protocols.&hellip;
MUTAWA MARINE,2nd Officer,Abu Dhabi,7452.380952380952,"To make all decisions in support of the legal orders/instructions of the captain/chief mate. Maintaining order and crew morale, including shipboard discipline.&hellip;"
German Experts Car Maintenance LLC,INFINITI TEAM LEADER,Abu Dhabi,10000.0,Job Purpose:* Oversee and monitor activities of the workshop team to ensure vehicles are repaired in accordance to established quality and safety standards and…&hellip;
Pinsent Masons,Bids Manager - 12 Month Fixed Term,Dubai,7452.380952380952,"We are recruiting Bid Manager on an initial12 month maternity cover contract, to co-ordinate the firm during the bid process and have project management…&hellip;"
Shining star diesel trading,Accountant,Ajman,3000.0,"Ultimately, you will provide us with accurate quantitative information on financial position, liquidity and cash flows of our business, while ensuring we’re…&hellip;"
ONREST VACATION HOMES RENTAL,General Labor Helper,Dubai,7452.380952380952,"*Safety Compliance*: Adhere to all workplace and safety standards, ensuring that all safety protocols are followed to minimize risk on site.&hellip;"
